"gameid","gametype","blue","red","resultb","url","SPLIT_STRING(blue,',',1)","SPLIT_STRING(blue,',',2)","SPLIT_STRING(blue,',',3)","SPLIT_STRING(blue,',',4)","SPLIT_STRING(blue,',',5)","SPLIT_STRING(red,',',1)","SPLIT_STRING(red,',',2)","SPLIT_STRING(red,',',3)","SPLIT_STRING(red,',',4)","SPLIT_STRING(red,',',5)"
"3214454818","Normal","Karma,Yasuo,Twitch,Lee Sin,Alistar","Lux,Singed,Jarvan IV,Quinn,Viktor","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214454818&summonerId=5690896&gameTime=1527049704","Karma","Yasuo","Twitch","Lee Sin","Alistar","Lux","Singed","Jarvan IV","Quinn","Viktor"
"3215177664","Normal","Karma,Kayn,Talon,Orianna,Kai'Sa","Zed,Shaco,Yasuo,Braum,Lucian","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3215177664&summonerId=5690896&gameTime=1527094616","Karma","Kayn","Talon","Orianna","Kai'Sa","Zed","Shaco","Yasuo","Braum","Lucian"
"3223726389","Normal","Miss Fortune,Graves,LeBlanc,Fiora,Ashe","Rengar,Lux,Zyra,Riven,Lucian","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3223726389&summonerId=8265848&gameTime=1527744213","Miss Fortune","Graves","LeBlanc","Fiora","Ashe","Rengar","Lux","Zyra","Riven","Lucian"
"3223703727","Normal","Vladimir,Graves,Tryndamere,Zyra,Vayne","Blitzcrank,Camille,Katarina,Volibear,Ezreal","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3223703727&summonerId=8265848&gameTime=1527742995","Vladimir","Graves","Tryndamere","Zyra","Vayne","Blitzcrank","Camille","Katarina","Volibear","Ezreal"
"3230848065","Normal","Vladimir,Kai'Sa,Pyke,Camille,LeBlanc","Soraka,Lucian,Pyke,Camille,Twisted Fate","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3230848065&summonerId=1448051&gameTime=1528230451","Vladimir","Kai'Sa","Pyke","Camille","LeBlanc","Soraka","Lucian","Pyke","Camille","Twisted Fate"
"3238093974","Normal","Riven,Morgana,Jarvan IV,Yasuo,Vladimir","Singed,Illaoi,Yasuo,Taliyah,Lucian","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3238093974&summonerId=1448051&gameTime=1528743364","Riven","Morgana","Jarvan IV","Yasuo","Vladimir","Singed","Illaoi","Yasuo","Taliyah","Lucian"
"3253433781","Normal","Lee Sin,Morgana,Ezreal,Aatrox,Twisted Fate","Aatrox,Yasuo,Lulu,Camille,Orianna","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253433781&summonerId=1448051&gameTime=1530102071","Lee Sin","Morgana","Ezreal","Aatrox","Twisted Fate","Aatrox","Yasuo","Lulu","Camille","Orianna"
"3253748650","Normal","Renekton,Karma,Kindred,Galio,Pyke","Talon,Dr. Mundo,Ryze,Rengar,Lux","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253748650&summonerId=8265848&gameTime=1530156751","Renekton","Karma","Kindred","Galio","Pyke","Talon","Dr. Mundo","Ryze","Rengar","Lux"
"3253735908","Normal","Lee Sin,Garen,Blitzcrank,Darius,Ahri","Soraka,LeBlanc,Aatrox,Camille,Miss Fortune","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253735908&summonerId=8265848&gameTime=1530154282","Lee Sin","Garen","Blitzcrank","Darius","Ahri","Soraka","LeBlanc","Aatrox","Camille","Miss Fortune"
"3253388079","Normal","Vladimir,Master Yi,Twisted Fate,Camille,Pyke","Riven,Swain,Teemo,Aatrox,Fiddlesticks","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253388079&summonerId=1448051&gameTime=1530100421","Vladimir","Master Yi","Twisted Fate","Camille","Pyke","Riven","Swain","Teemo","Aatrox","Fiddlesticks"
"3253801224","Normal","Darius,Xerath,Ezreal,Rengar,Garen","Twitch,Master Yi,Zac,Gragas,Orianna","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253801224&summonerId=8265848&gameTime=1530159208","Darius","Xerath","Ezreal","Rengar","Garen","Twitch","Master Yi","Zac","Gragas","Orianna"
"3255707180","Normal","Pantheon,Rakan,Gangplank,Xayah,Darius","Talon,Amumu,Soraka,Fiddlesticks,Miss Fortune","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3255707180&summonerId=70160800&gameTime=1530291175","Pantheon","Rakan","Gangplank","Xayah","Darius","Talon","Amumu","Soraka","Fiddlesticks","Miss Fortune"
"3263488968","Normal","Ryze,Kindred,Zoe,Yasuo,Blitzcrank","Irelia,Morgana,Thresh,Nunu & Willump,Zed","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3263488968&summonerId=70150832&gameTime=1530872674","Ryze","Kindred","Zoe","Yasuo","Blitzcrank","Irelia","Morgana","Thresh","Nunu & Willump","Zed"
"3263525260","Normal","Tryndamere,Ivern,Rengar,Gragas,Lee Sin","Lulu,Varus,Lee Sin,Trundle,Aatrox","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3263525260&summonerId=70150832&gameTime=1530874287","Tryndamere","Ivern","Rengar","Gragas","Lee Sin","Lulu","Varus","Lee Sin","Trundle","Aatrox"
"3263538874","Normal","Vel'Koz,Tristana,Graves,Morgana,Fiora","Sejuani,Zed,Ziggs,Garen,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3263538874&summonerId=70150832&gameTime=1530876229","Vel'Koz","Tristana","Graves","Morgana","Fiora","Sejuani","Zed","Ziggs","Garen","Alistar"
"3267880776","Normal","Miss Fortune,Hecarim,Jarvan IV,Aatrox,Tristana","Brand,Master Yi,Aatrox,Pantheon,Quinn","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3267880776&summonerId=8967256&gameTime=1531149376","Miss Fortune","Hecarim","Jarvan IV","Aatrox","Tristana","Brand","Master Yi","Aatrox","Pantheon","Quinn"
